id,original_language,popularity,release_date,runtime,title,vote_average,vote_count,release_year,release_month,release_dow,budget_2023,revenue_2023,director,star_power_index,star_power_index_log,roi,director_track_record,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_war,genre_western,genre_diversity,genre_count,is_franchise,is_adaptation,is_summer,is_holiday,is_award_season,is_weekend_release,month_sin,month_cos,log_budget,is_major_studio,budget_vs_genre_avg,log_popularity,log_vote_count,buzz_score,weighted_rating,rating_confidence,action_x_budget,franchise_x_star,director_x_budget,buzz_x_rating,is_peak_season,competition_proxy,y_revenue,success_category,y_class
15647,en,3.990215,2001-04-21,97.0,Kissing Jessica Stein,5.9,48,2001,4,5,1793000.0,17954069.232,Charles Herman-Wurmfeld,53862207.696,17.80193965260198,10.013424,8.20403843975257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0.8660254037844387,-0.4999999999999998,14.399401310311598,0,0.037260378826412144,1.6074789950075896,3.8918202981106265,6.2560193815570075,1.9135135135135137,0.04099060631938514,0.0,0.0,118.13324185921986,11.97097762741179,0,0,16.703327401065653,Hit,2
9464,en,10.009994,1998-01-20,110.0,Buffalo '66,7.1,166,1998,1,1,2907000.0,4602937.986,Vincent Gallo,2293992744.2110004,21.553559693142486,1.5833979999999999,1.5833979999999999,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.8,4,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,14.882632523538202,0,0.05678637027240556,2.398803405775312,5.117993812416755,12.277060987962287,4.430827067669172,0.14175918018787362,0.0,0.0,23.56513057250534,54.39753413688853,0,0,15.342205567443223,Average,1
49018,en,58.594852,2010-09-13,103.0,Insidious,6.8,1737,2010,9,0,2206500.0,142700459.65,James Wan,6331455064.997,22.56879591493281,50.0,36.18377220615313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4,2,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,14.606918560898071,0,0.06503232483658984,4.0875691945017705,7.460490305825338,30.495270349970742,6.429831246597714,1.4833475661827498,0.0,0.0,528.5334138413659,196.07944216968667,0,0,18.776258310542765,Hit,2
17113,en,3.618646,2005-03-25,111.0,The Ballad of Jack and Rose,6.5,43,2005,3,4,2455500.0,1166025.278,Rebecca Miller,4012621651.4490004,22.112710643310304,0.47486266666666666,0.47486266666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,1.0,6.123233995736766e-17,14.713841371710386,0,0.05127558973824384,1.5301015885461158,3.784189633918261,5.790194570218076,1.9545454545454546,0.036720751494449186,0.0,0.0,6.987053950680718,11.317198478153513,0,0,13.96911218251684,Flop,0
129139,en,15.017068,2013-07-24,104.0,The To Do List,5.5,342,2013,7,2,2063999.9999999998,4907125.6,Maggie Carey,5395622360.04,22.40885378786139,2.3774833333333336,2.3774833333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4,2,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,14.540156890079597,0,0.04289203675276891,2.7736549036663147,5.8377304471659395,16.191849681063957,4.255656108597285,0.2920580700256191,0.0,0.0,34.56898067021608,68.90694400470883,1,0,15.406199114616955,Average,1
507,en,5.817519,1993-10-01,96.0,Killing Zoe,6.1,111,1993,10,4,3282000.0000000005,916686.6680000001,Roger Avary,1141990770.967,20.856038867558265,0.2793073333333333,0.2793073333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8,4,0,0,0,0,1,1,-0.8660254037844386,0.5000000000000001,15.003963855324388,0,0.03427754492791192,1.9194956226790842,4.718498871295094,9.057137929067133,3.2090047393364927,0.09479077711357814,15.003963855324388,0.0,4.190717133860374,29.064398539200738,0,1,13.728522091257656,Flop,0
4012,en,9.856826,2001-01-19,98.0,The Believer,6.8,151,2001,1,4,2689500.0,747546.525,Henry Bean,1539950379.461,21.155016032372988,0.27795000000000003,0.27795000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387,14.804866232511689,0,0.056161962370599394,2.3847940065946243,5.0238805208462765,11.98092015596168,4.090836653386454,0.12894961571306576,0.0,0.0,4.115012569326624,49.01198731530459,0,0,13.524553160821263,Flop,0
10972,en,11.064228,2001-08-10,100.0,Session 9,6.2,251,2001,8,4,2689500.0,670522.831,Brad Anderson,827521599.683,20.533945768419212,0.24931133333333333,0.7676811602396053,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,2,0,0,1,0,0,1,-0.8660254037844385,-0.5000000000000004,14.804866232511689,0,0.07926781674507519,2.4902447102912566,5.529429087511423,13.769631536105932,4.433618233618234,0.2143467122117848,0.0,0.0,11.365416886566727,61.049289448683915,1,0,13.415814523205,Flop,0
1961,en,7.5591,2007-10-01,86.0,My Name Is Bruce,5.9,107,2007,10,0,2314500.0,267040.838,Bruce Campbell,1868436161.4579997,21.348367641177994,0.11537733333333333,0.11537733333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,2,0,0,0,0,1,0,-0.8660254037844386,0.5000000000000001,14.654704671512128,0,0.048097683655176186,2.146995044439118,4.68213122712422,10.052512542049348,3.0497584541062803,0.09137489325362938,0.0,0.0,1.690820745786612,30.657735110124413,0,0,12.495160621735966,Flop,0
104755,en,14.504326,2012-09-10,101.0,The Lords of Salem,5.1,242,2012,9,0,2090999.9999999998,1625239.508,Rob Zombie,974705495.408,20.69764592836818,0.7772546666666668,1.240519668888264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4,2,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,14.553153456650733,0,0.06162818546716943,2.741119081759135,5.493061443340548,15.057135539616151,3.608771929824561,0.20666097352690008,0.0,0.0,18.053473107324464,54.33776807893056,0,0,14.301166367717403,Flop,0
100,en,16.032594,1998-03-05,105.0,"Lock, Stock and Two Smoking Barrels",7.5,1648,1998,3,3,2616300.0,7553488.722,Guy Ritchie,2565053795.7930007,21.66524528875778,2.8870881481481483,3.5817018820530415,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0,0,0,0,0,0,1.0,6.123233995736766e-17,14.777272046102278,0,0.05436939716873513,2.8351288025114583,7.407924322559599,21.0024196137139,7.0709382151029745,1.40734415029889,0.0,0.0,52.927783099134324,148.50681145623787,0,0,15.837520229271274,Average,1
25784,vi,0.072066,2006-02-22,135.0,Journey from the Fall,5.0,1,2006,2,2,2065700.0,1015371.0,Ham Tran,3046113.0,14.929377237869536,0.49153846153846154,0.49153846153846154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,14.540980194083627,0,0.04313581173784985,0.0695876279176093,0.6931471805599453,0.04823446809294542,0.04950495049504951,0.0008539709649871904,0.0,0.0,7.147451033861106,0.002387844955096308,0,0,13.830765605775456,Flop,0
176,en,63.655973,2004-10-01,103.0,Saw,7.2,2184,2004,10,4,2024400.0,175298985.60300002,James Wan,7743954477.066999,22.770178308554623,50.0,38.48748667443138,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6,3,0,0,0,0,1,1,-0.8660254037844386,0.5000000000000001,14.52078441229546,0,0.05966527912947767,4.169080490741376,7.68937110752969,32.057607070472436,6.8847635726795104,1.865072587532024,0.0,0.0,558.8684965705124,220.70904538606175,0,0,18.98200356894492,Hit,2
39939,en,16.312803,2001-01-18,100.0,Super Troopers,6.6,362,2001,1,3,5379000.0,33156805.066,Jay Chandrasekhar,349164298.54599994,19.67105314172628,6.164120666666666,4.290994498223425,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,3,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,15.498013227163524,0,0.11178113647923643,2.8514462855994567,5.8944028342648505,16.807573067591417,5.171428571428571,0.30913748932536295,0.0,0.0,66.50188949115254,86.9191635781156,0,0,17.31675856471424,Hit,2
176124,en,3.085411,2013-04-19,114.0,Home Run,6.3,24,2013,4,4,1651199.9999999998,3936763.5199999996,David Boyd,85111113.45699999,18.259468189680657,2.3841833333333335,2.3841833333333335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0.8660254037844387,-0.4999999999999998,14.317013459889353,0,0.034480249959596095,1.4074223352460231,3.2188758248682006,4.530317730302972,1.2193548387096773,0.02049530315969257,0.0,0.0,34.1343848741772,5.524064845337172,0,0,15.18586975609744,Average,1
500,en,66.925866,1992-09-02,99.0,Reservoir Dogs,8.0,3697,1992,9,2,2702399.9999999995,33016587.764,Quentin Tarantino,7118632415.521999,22.685981467590096,12.217505833333336,12.840492646532715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,2,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,14.809651195077048,1,0.05177034247053361,4.2184169045870465,8.21554741194707,34.65660408299388,7.789307347906242,3.157130657557643,0.0,0.0,190.16321726810128,269.9509408371417,0,0,17.312520682942736,Hit,2
